order_id,order_date,region,channel,product,units,revenue
S-1001,2025-01-08,North America,Direct,Pulse Monitor 27,12,3588
S-1002,2025-01-15,EMEA,Partner,Aether Keyboard,40,3160
S-1003,2025-01-22,APAC,Online,Orbit Mouse,60,2100
S-1004,2025-02-03,North America,Direct,Pulse Monitor 34,8,3992
S-1005,2025-02-11,LATAM,Partner,Forge Dock,25,2475
S-1006,2025-02-19,EMEA,Online,Nimbus Webcam,45,3105
S-1007,2025-02-27,APAC,Direct,Echo Headset,30,2670
S-1008,2025-03-05,North America,Partner,Aether Keyboard,55,4345
S-1009,2025-03-14,EMEA,Direct,Pulse Monitor 27,18,5382
S-1010,2025-03-21,LATAM,Online,Summit Laptop Stand,70,2730
S-1011,2025-03-28,APAC,Partner,Forge Cable Kit,120,1800
S-1012,2025-04-04,North America,Online,Orbit Mouse,85,2975
S-1013,2025-04-12,EMEA,Direct,Pulse Monitor 34,10,4990
S-1014,2025-04-23,APAC,Partner,Nimbus Webcam,50,3450
S-1015,2025-05-02,North America,Direct,Echo Headset,42,3738
S-1016,2025-05-13,LATAM,Partner,Aether Keyboard,30,2370
S-1017,2025-05-21,EMEA,Online,Forge Dock,28,2772
S-1018,2025-05-30,APAC,Direct,Pulse Monitor 27,15,4485
S-1019,2025-06-06,North America,Partner,Pulse Monitor 34,14,6986
S-1020,2025-06-17,EMEA,Direct,Aether Keyboard,48,3792
S-1021,2025-06-25,LATAM,Online,Orbit Mouse,55,1925
S-1022,2025-07-08,APAC,Partner,Echo Headset,36,3204
S-1023,2025-07-16,North America,Direct,Nimbus Webcam,60,4140
S-1024,2025-07-24,EMEA,Online,Summit Laptop Stand,90,3510
S-1025,2025-08-05,North America,Direct,Pulse Monitor 27,20,5980
S-1026,2025-08-14,APAC,Direct,Pulse Monitor 34,12,5988
S-1027,2025-08-22,LATAM,Partner,Forge Dock,33,3267
S-1028,2025-09-03,EMEA,Partner,Aether Keyboard,62,4898
S-1029,2025-09-12,North America,Online,Orbit Mouse,95,3325
S-1030,2025-09-20,APAC,Direct,Echo Headset,40,3560
S-1031,2025-09-29,LATAM,Online,Forge Cable Kit,150,2250
S-1032,2025-10-07,North America,Direct,Pulse Monitor 34,16,7984
S-1033,2025-10-15,EMEA,Direct,Pulse Monitor 27,22,6578
S-1034,2025-10-23,APAC,Partner,Nimbus Webcam,55,3795
S-1035,2025-11-04,North America,Partner,Aether Keyboard,70,5530
S-1036,2025-11-13,EMEA,Online,Echo Headset,48,4272
S-1037,2025-11-21,LATAM,Direct,Summit Laptop Stand,60,2340
S-1038,2025-11-28,APAC,Online,Orbit Mouse,110,3850
S-1039,2025-12-05,North America,Direct,Pulse Monitor 27,25,7475
S-1040,2025-12-12,EMEA,Partner,Pulse Monitor 34,18,8982
S-1041,2025-12-19,APAC,Direct,Echo Headset,52,4628
S-1042,2026-01-09,North America,Direct,Aether Keyboard,58,4582
S-1043,2026-01-17,EMEA,Online,Nimbus Webcam,50,3450
S-1044,2026-01-27,LATAM,Partner,Forge Dock,30,2970
S-1045,2026-02-06,North America,Partner,Pulse Monitor 34,15,7485
S-1046,2026-02-16,APAC,Direct,Pulse Monitor 27,19,5681
S-1047,2026-02-24,EMEA,Direct,Echo Headset,44,3916
S-1048,2026-03-06,North America,Online,Orbit Mouse,100,3500
S-1049,2026-03-16,LATAM,Partner,Aether Keyboard,35,2765
